SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;Regione;State;Comments
207;Tolve;207;OD:207;40.6981327723;16.0289716683;568;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
208;Torre_Accio;208;OD:208;40.4034744433;16.6484426712;140;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** Codice assegnato dopo unione: 177000
209;Tramutola;209;OD:209;40.3252638513;15.7739768238;654;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
210;Trecchina;210;OD:210;40.0173284563;15.7831089649;500;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
211;Tricarico;211;OD:211;40.6173450812;16.1486315605;698;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
212;Tursi;212;OD:212;40.247202419;16.4801779065;348;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** Codice assegnato dopo unione: 276900
213;Vaglio_di_Lucania;213;OD:213;40.6673383418;15.9160305896;933;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
214;Valsinni;214;OD:214;40.1673513371;16.4310668755;250;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
215;Venusio_Scalo;215;OD:215;40.734029396;16.5639946024;338;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
216;Vietri;216;OD:216;40.595006942;15.5175103774;421;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
217;Viggianello;217;OD:217;39.9673364679;16.0821639726;512;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
218;Viggiano;218;OD:218;40.3340008317;15.8827978295;1023;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
