SiteID;SiteName;Longitude;Latitude;Elevation;FullSiteCode;SiteCode;Rete;Comments;State
6536;Denno;11.050831;46.273139;426;86;86;32;Regionale_Trentino;Italy
6537;Tres (Diga);11.099216;46.326476;830;88;88;32;Regionale_Trentino;Italy
6538;Mezzolombardo;11.093366;46.214254;225;90;90;32;Regionale_Trentino;Italy
6539;Pian Fedaia (Diga);11.862414;46.461795;2040;92;92;32;Regionale_Trentino;Italy
6540;Passo Costalunga;11.613467;46.404425;1750;94;94;32;Regionale_Trentino;Italy
6541;Pezze' di Moena (Diga);11.664561;46.383662;1205;96;96;32;Regionale_Trentino;Italy
6542;Moena;11.659198;46.375264;1200;98;98;32;Regionale_Trentino;Italy
6543;Paganella;11.037444;46.143291;2125;99;99;32;Regionale_Trentino;Italy
6544;Zambana;11.079707;46.156372;201;101;101;32;Regionale_Trentino;Italy
6545;Predazzo (Centrale);11.595046;46.310039;1005;102;102;32;Regionale_Trentino;Italy
6546;Passo Rolle;11.787638;46.297214;1995;103;103;32;Regionale_Trentino;Italy
6547;Passo Valles;11.799764;46.338417;2032;104;104;32;Regionale_Trentino;Italy
6548;Forte Buso (Diga);11.704362;46.305812;1480;105;105;32;Regionale_Trentino;Italy
6549;Cavalese;11.459207;46.291154;1000;107;107;32;Regionale_Trentino;Italy
6550;Cadino di Fiemme;11.41451;46.245739;964;109;109;32;Regionale_Trentino;Italy
6551;Stramentizzo (Diga);11.376125;46.264652;815;110;110;32;Regionale_Trentino;Italy
6552;Grumes;11.29664;46.220772;845;113;113;32;Regionale_Trentino;Italy
6553;Valda;11.267092;46.209185;855;114;114;32;Regionale_Trentino;Italy
6554;Segonzano (Gresta);11.289532;46.211348;660;115;115;32;Regionale_Trentino;Italy
6555;Segonzano (Scancio);11.259966;46.191578;720;116;116;32;Regionale_Trentino;Italy
6556;Cembra;11.217991;46.170656;652;118;118;32;Regionale_Trentino;Italy
6557;Lisignago;11.192061;46.159357;613;119;119;32;Regionale_Trentino;Italy
6558;Pozzolago (Centrale);11.231823;46.165436;420;120;120;32;Regionale_Trentino;Italy
