SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;State;Comments
109;109;PIETRAMONTECORVINO;15.1289416667;41.5433805556;464;NA;464;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
110;110;PIETRAMONTECORVINO_-EAAP;15.239;41.5243805556;225;NA;225;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
NA;NA;POGGIO_IMPERIALE;15.3652416667;41.8239;73;NA;73;NA;Italy;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
111;111;POLIGNANO_A_MARE;17.2189611111;40.991152777800004;50;NA;50;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
112;112;PRESICCE;18.2669888889;39.8965638889;105;NA;105;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
113;113;QUASANO;16.5758083333;40.9656722222;369;NA;369;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
114;114;RIPACANDIDA;15.7358083333;40.9160972222;658;NA;658;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
115;115;ROCCHETTA_S._ANTONIO;15.4655138889;41.1050138889;679;NA;679;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
116;116;ROCCHETTA_S._ANTONIO_(SCALO_);15.5492666667;41.0787916667;220;NA;220;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
117;117;RUFFANO;18.2469583333;39.9825944444;140;NA;140;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
118;118;RUVO_DI_PUGLIA;16.4835444444;41.1136444444;276;NA;276;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
119;119;SAN_FELE;15.540275;40.8197;902;NA;902;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
120;120;SAN_GIORGIO_JONICO;17.3822305556;40.4578;86;NA;86;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
121;121;SAN_GIOVANNI_ROTONDO;15.7087611111;41.7066694444;572;NA;572;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
122;122;SAN_MARCO_IN_LAMIS;15.6361194444;41.7101944444;564;NA;564;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
124;124;SAN_PANCRAZIO_SALENTINO;17.8398305556;40.4185388889;64;NA;64;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
125;125;SAN_PAOLO_CIVITATE;15.2585916667;41.7413;187;NA;187;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
126;126;SAN_PIETRO_VERNOTICO;18.0014694444;40.480625;49;NA;49;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
127;127;SAN_SAMUELE_DI_CAFIERO;16.0592472222;41.2690555556;46;NA;46;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
128;128;SAN_SEVERO;15.3838361111;41.6928055556;97;NA;97;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
133;133;SAN_VITO_DEI_NORMANNI;17.7054416667;40.6570694444;116;NA;116;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
123;123;SAN_NICANDRO_GARGANICO;15.5624777778;41.8371166667;236;NA;236;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
130;130;SANTA_MARIA_DI_LEUCA;18.3548555556;39.7986194444;26;NA;26;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
129;129;SANTAGATA_DI_PUGLIA;15.3812611111;41.1492333333;710;NA;710;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
131;131;SANT_ANGELO_DEI_LOMBARDI;15.1689027778;40.9173138889;875;NA;875;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
132;132;SANTERAMO_IN_COLLE;16.760925;40.7921388889;489;NA;489;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
134;134;SAVIGNANO_IRPINO;15.1836194444;41.2248222222;718;NA;718;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
135;135;SPINAZZOLA;16.0970138889;40.9615527778;458;NA;458;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
137;137;TALSANO;17.2727555556;40.4102194444;37;NA;37;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
138;138;TARANTO;17.2504222222;40.4643333333;27;NA;27;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
139;139;TAVIANO;18.0887861111;39.9817833333;72;NA;72;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
140;140;TEORA;15.2425388889;40.8455027778;687;NA;687;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
141;141;TERTIVERI;15.205975;41.4328222222;364;NA;364;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
142;142;TORREMAGGIORE;15.2920555556;41.6894138889;184;NA;184;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
143;143;TROIA;15.3095888889;41.3614611111;448;NA;448;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
144;144;TURI;17.0223611111;40.9205111111;260;NA;260;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
145;145;VENOSA;15.810636111099999;40.9641694444;426;NA;426;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
146;146;VICO_GARGANICO;15.9582638889;41.8912305556;450;NA;450;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
147;147;VIESTE;16.1752138889;41.8799555556;53;NA;53;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
148;148;VIGNACASTRISI;18.4087944444;40.0118472222;99;NA;99;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
149;149;VOLTURARA_APPULA;15.0634194444;41.5020805556;604;NA;604;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
150;150;VOLTURINO;15.1274416667;41.4772388889;713;NA;713;Puglia;Italy;NA ** Serie fornita da Centro Funzionale Puglia
