SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;FullSiteCode;State;codicePluviometroCentroFunzionale;nomeStazioneCentroFunzionale2;codiceTermometroCentroFunzionale;nomeStazioneCentroFunzionale
146;145570;Sala Consilina Tanagro;15.57152778;40.39119444;453;453;NA;Campania;OD:145570;Italy;37378;Sala Consilina Tanagro;NA;NA
147;145580;Morigerati Bussento;15.54394444;40.134;148;148;NA;Campania;OD:145580;Italy;37286;Morigerati Bussento;NA;NA
148;145590;Albanella Calore;15.04280556;40.51208333;24;24;NA;Campania;OD:145590;Italy;36572;Albanella Calore;NA;NA
149;145600;Costa dei Corvi;15.35163889;40.63736111;550;550;NA;Campania;OD:145600;Italy;36911;Costa dei Corvi;36912;Costa dei Corvi
150;145610;S.Agata dei Goti Isclero;14.464;41.10236111;76;76;NA;Campania;OD:145610;Italy;36920;S.Agata dei Goti Isclero;NA;NA
151;145620;Ailano;14.17280556;41.38247222;124;124;NA;Campania;OD:145620;Italy;37374;Ailano;NA;NA
152;145630;Cicciano;14.54094444;40.95911111;54;54;NA;Campania;OD:145630;Italy;37539;Cicciano;NA;NA
153;145690;Agerola METEO;14.54061111;40.64683333;818;818;NA;Campania;OD:145690;Italy;36428;Agerola METEO-1;36423;Agerola METEO-1
154;145700;Ariano Irpino METEO;15.13608333;41.19661111;626;626;NA;Campania;OD:145700;Italy;36478;Ariano Irpino METEO-1;36473;Ariano Irpino METEO-1
155;145710;S.Marco Evangelista METEO;14.33586111;41.0225;31;31;NA;Campania;OD:145710;Italy;38667;S.Marco Evangelista METEO-1;38662;S.Marco Evangelista METEO-1
156;145720;Benevento METEO;14.82502778;41.11505556;239;239;NA;Campania;OD:145720;Italy;36453;Benevento METEO-1;36448;Benevento METEO-1
157;145730;Rocca d'Evandro METEO;13.88016667;41.42461111;62;62;NA;Campania;OD:145730;Italy;38784;Rocca d'Evandro METEO-1;38786;Rocca d'Evandro METEO-1
158;145740;Cellole METEO;13.83833333;41.19636111;8;8;NA;Campania;OD:145740;Italy;36309;Cellole METEO-1;36303;Cellole METEO-1
159;145750;Conza della Campania METEO;15.28191667;40.86197222;741;741;NA;Campania;OD:145750;Italy;36339;Conza della Campania METEO-1;36333;Conza della Campania METEO-1
160;145760;Montella METEO;15.03936111;40.83847222;510;510;NA;Campania;OD:145760;Italy;37448;Montella METEO-1;37443;Montella METEO-1
161;145770;Montesano Marcellana METEO;15.66013889;40.25558333;526;526;NA;Campania;OD:145770;Italy;36938;Montesano Marcellana METEO-1;36932;Montesano Marcellana METEO-1
162;145780;Nisida METEO;14.16383333;40.79372222;15;15;NA;Campania;OD:145780;Italy;36128;Nisida METEO-1;36127;Nisida METEO-1
163;145790;Postiglione METEO;15.23691667;40.56188889;668;668;NA;Campania;OD:145790;Italy;36545;Postiglione METEO-1;36546;Postiglione METEO-1
164;145800;Salerno METEO;14.83652778;40.64380556;24;24;NA;Campania;OD:145800;Italy;36403;Salerno METEO-1;36398;Salerno METEO-1
165;145810;Lago Patria METEO;14.02133333;40.94122222;1;1;NA;Campania;OD:145810;Italy;40341;Lago Patria METEO-1;40336;Lago Patria METEO-1
166;145820;S.Bartolomeo METEO;15.04075;41.42213889;735;735;NA;Campania;OD:145820;Italy;36246;S.Bartolomeo in Galdo METEO-1;36240;S.Bartolomeo in Galdo METEO-1
167;145830;S.Salvatore Telesino METEO;14.47283333;41.24691667;156;156;NA;Campania;OD:145830;Italy;38595;S.Salvatore Telesino METEO-1;38590;S.Salvatore Telesino METEO-1
168;145840;Torre Orsaia METEO;15.45866667;40.13202778;294;294;NA;Campania;OD:145840;Italy;36275;Torre Orsaia METEO-1;36269;Torre Orsaia METEO-1
169;146050;Ischia - Forio;13.87927778;40.732;383;383;NA;Campania;OD:146050;Italy;33430;Ischia - Forio;NA;NA
170;163880;Scala - Pontone;14.60391667;40.64130556;145;145;NA;Campania;OD:163880;Italy;45079;Scala - Pontone;NA;NA
171;304000;Chiusura Lambro;15.29108333;40.04608333;35;35;NA;Campania;OD:304000;Italy;NA;NA;NA;NA
172;305000;Chiusura Mingardo;15.31636111;40.03552778;28;28;NA;Campania;OD:305000;Italy;NA;NA;NA;NA
173;306000;Chiusura Sarno;14.47725;40.73202778;3;3;NA;Campania;OD:306000;Italy;NA;NA;NA;NA
174;307000;Calore Irpino a pt Calore;14.94711111;41.05527778;209;209;NA;Campania;OD:307000;Italy;NA;NA;NA;NA
175;310000;Chiusura Alento;15.13858333;40.17305556;3;3;NA;Campania;OD:310000;Italy;NA;NA;NA;NA
176;311000;Sabato ad Atripalda;14.83183333;40.91772222;302;302;NA;Campania;OD:311000;Italy;NA;NA;NA;NA
177;312000;Chiusura Bussento;15.50744444;40.07111111;10;10;NA;Campania;OD:312000;Italy;NA;NA;NA;NA
178;313000;Chiusura Regi Lagni;14.14052778;41.03966667;10;10;NA;Campania;OD:313000;Italy;NA;NA;NA;NA
179;314000;S.Mauro la Bruca;15.28858333;40.12797222;388;388;NA;Campania;OD:314000;Italy;38545;S.Mauro la Bruca;38546;S.Mauro La Bruca
180;315000;Torraca;15.62769444;40.11577778;475;475;NA;Campania;OD:315000;Italy;38548;Torraca;38549;Torraca
181;316000;Rofrano;15.43452778;40.21636111;592;592;NA;Campania;OD:316000;Italy;38528;Rofrano;NA;NA
183;318000;Torchiara;15.05766667;40.32077778;337;337;NA;Campania;OD:318000;Italy;38530;Torchiara;38531;Torchiara
184;322000;Sanza;15.55338889;40.24425;601;601;NA;Campania;OD:322000;Italy;38496;Sanza;38497;Sanza
185;323000;Montesano Terme;15.70413889;40.27936111;863;863;NA;Campania;OD:323000;Italy;38542;Montesano Terme;38543;Montesano Terme
187;326000;Gioi Cilento;15.22619444;40.29125;757;757;NA;Campania;OD:326000;Italy;38533;Gioi Cilento;38534;Gioi Cilento
188;362000;Bracigliano;14.71116667;40.82480556;356;356;NA;Campania;OD:362000;Italy;38443;Bracigliano;NA;NA
189;363000;Quindici Torre Vecchia;14.65733333;40.85508333;391;391;NA;Campania;OD:363000;Italy;38485;Quindici Torre Vecchia;NA;NA
190;365000;Sarno (Acqued. Campano);14.59519444;40.83519444;285;285;NA;Campania;OD:365000;Italy;38445;Sarno (Acqued. Campano);NA;NA
