SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;FullSiteCode;State
109;TOS01002401;Santa Costanza;10.903623;43.117024;567;567;NA;Toscana;OD:TOS01002401;Italy
110;TOS01002779;Campiano;11.03847;43.101954;452;452;NA;Toscana;OD:TOS01002779;Italy
111;TOS01004005;Carrara;10.102669;44.081923;156;156;NA;Toscana;OD:TOS01004005;Italy
112;TOS01004007;Avenza;10.060135;44.045181;5;5;NA;Toscana;OD:TOS01004007;Italy
113;TOS01004379;Stia;11.718598;43.802706;624;624;NA;Toscana;OD:TOS01004379;Italy
114;TOS01004411;Subbiano;11.868619;43.572457;289;289;NA;Toscana;OD:TOS01004411;Italy
115;TOS01004521;Ponte Ferrovia FI-Roma;11.825468;43.46846;239;239;NA;Toscana;OD:TOS01004521;Italy
116;TOS01004568;Bucine;11.620751;43.484233;206;206;NA;Toscana;OD:TOS01004568;Italy
117;TOS01004571;Montevarchi;11.567136;43.542615;145;145;NA;Toscana;OD:TOS01004571;Italy
118;TOS01004589;Incisa Monte;11.456561;43.688196;117;117;NA;Toscana;OD:TOS01004589;Italy
119;TOS01004591;Incisa Valle;11.456679;43.691696;111;111;NA;Toscana;OD:TOS01004591;Italy
120;TOS01004611;Bilancino;11.288958;43.978906;240;240;NA;Toscana;OD:TOS01004611;Italy
121;TOS01004621;S. Piero a Sieve-Sieve;11.329263;43.96699;216;216;NA;Toscana;OD:TOS01004621;Italy
122;TOS01004623;S. Piero a Sieve-Carza;11.323388;43.960834;221;221;NA;Toscana;OD:TOS01004623;Italy
123;TOS01004625;Dicomano;11.527499;43.885481;235;235;NA;Toscana;OD:TOS01004625;Italy
124;TOS01004641;Fornacina;11.468785;43.803025;143;143;NA;Toscana;OD:TOS01004641;Italy
125;TOS01004642;Fornacina 2 ul;11.468785;43.803025;143;143;NA;Toscana;OD:TOS01004642;Italy
126;TOS01004659;Nave di Rosano;11.421897;43.773255;86;86;NA;Toscana;OD:TOS01004659;Italy
127;TOS01004661;Nave Rosano valle;11.416489;43.774395;86;86;NA;Toscana;OD:TOS01004661;Italy
128;TOS01004679;Firenze Uffizi;11.255615;43.769726;50;50;NA;Toscana;OD:TOS01004679;Italy
129;TOS01004683;Firenze Uffizi 3;11.25536;43.769551;50;50;NA;Toscana;OD:TOS01004683;Italy
130;TOS01004702;Ponte alle Mosse;11.227683;43.78875;48;48;NA;Toscana;OD:TOS01004702;Italy
131;TOS01004705;Greve;11.316808;43.586744;271;271;NA;Toscana;OD:TOS01004705;Italy
132;TOS01004723;Tavarnuzze;11.217966;43.71248;102;102;NA;Toscana;OD:TOS01004723;Italy
133;TOS01004725;Strada in Chianti;11.315771;43.665899;160;160;NA;Toscana;OD:TOS01004725;Italy
134;TOS01004731;Scandicci;11.193523;43.754729;43;43;NA;Toscana;OD:TOS01004731;Italy
135;TOS01004779;Vaiano Gamberame;11.128141;43.924691;175;175;NA;Toscana;OD:TOS01004779;Italy
136;TOS01004782;Prato;11.107831;43.879033;63;63;NA;Toscana;OD:TOS01004782;Italy
137;TOS01004784;Calenzano;11.156618;43.870227;67;67;NA;Toscana;OD:TOS01004784;Italy
138;TOS01004791;S. Piero a Ponti;11.131803;43.805318;35;35;NA;Toscana;OD:TOS01004791;Italy
139;TOS01004795;Sesto Fiorentino;11.193298;43.823151;39;39;NA;Toscana;OD:TOS01004795;Italy
140;TOS01004811;Ponte a Signa;11.096958;43.772686;43;43;NA;Toscana;OD:TOS01004811;Italy
141;TOS01004837;Pontelungo;10.893629;43.922766;65;65;NA;Toscana;OD:TOS01004837;Italy
142;TOS01004875;Poggio a Caiano;11.061444;43.814591;35;35;NA;Toscana;OD:TOS01004875;Italy
143;TOS01004901;Montelupo;11.049752;43.762396;72;72;NA;Toscana;OD:TOS01004901;Italy
144;TOS01004915;Montespertoli;11.133471;43.618974;263;263;NA;Toscana;OD:TOS01004915;Italy
145;TOS01004921;Turbone;11.035944;43.718586;74;74;NA;Toscana;OD:TOS01004921;Italy
146;TOS01004941;Empoli;10.947135;43.725925;31;31;NA;Toscana;OD:TOS01004941;Italy
147;TOS01004965;Poggibonsi;11.129404;43.47162;97;97;NA;Toscana;OD:TOS01004965;Italy
148;TOS01004967;Certaldo;11.035636;43.546531;74;74;NA;Toscana;OD:TOS01004967;Italy
149;TOS01004971;Castelfiorentino;10.97041;43.604146;66;66;NA;Toscana;OD:TOS01004971;Italy
150;TOS01004981;Ponte a Elsa;10.893799;43.691302;38;38;NA;Toscana;OD:TOS01004981;Italy
151;TOS01004999;Fucecchio monte;10.817798;43.717981;24;24;NA;Toscana;OD:TOS01004999;Italy
152;TOS01005001;Fucecchio valle;10.813141;43.721242;26;26;NA;Toscana;OD:TOS01005001;Italy
153;TOS01005005;Fornacino;10.850613;43.633007;66;66;NA;Toscana;OD:TOS01005005;Italy
154;TOS01005101;Cateratte monte;10.650151;43.683753;33;33;NA;Toscana;OD:TOS01005101;Italy
155;TOS01005115;Molino d'Era;10.829027;43.457309;114;114;NA;Toscana;OD:TOS01005115;Italy
156;TOS01005131;Capannoli;10.687166;43.582027;34;34;NA;Toscana;OD:TOS01005131;Italy
157;TOS01005135;Forcoli;10.697733;43.602568;50;50;NA;Toscana;OD:TOS01005135;Italy
158;TOS01005151;Ponsacco;10.634122;43.619813;23;23;NA;Toscana;OD:TOS01005151;Italy
159;TOS01005161;Belvedere;10.63761;43.640013;21;21;NA;Toscana;OD:TOS01005161;Italy
160;TOS01005181;Pontedera;10.631241;43.665334;17;17;NA;Toscana;OD:TOS01005181;Italy
161;TOS01005189;S. Giovanni alla Vena monte;10.596383;43.682914;12;12;NA;Toscana;OD:TOS01005189;Italy
162;TOS01005191;S. Giovanni alla Vena valle;10.585252;43.6844;13;13;NA;Toscana;OD:TOS01005191;Italy
163;TOS01005231;Pisa a Sostegno;10.391896;43.714634;3;3;NA;Toscana;OD:TOS01005231;Italy
164;TOS01005251;Bocca d'Arno;10.280322;43.680668;1;1;NA;Toscana;OD:TOS01005251;Italy
165;TOS01005262;Gello;10.58773;43.651727;12;12;NA;Toscana;OD:TOS01005262;Italy
166;TOS01005342;Stagno;10.352125;43.60002;4;4;NA;Toscana;OD:TOS01005342;Italy
167;TOS01005365;Castellina Marittima;10.492503;43.40611;37;37;NA;Toscana;OD:TOS01005365;Italy
168;TOS01005372;Masso degli Specchi;10.954284;43.301607;232;232;NA;Toscana;OD:TOS01005372;Italy
169;TOS01005373;Puretta;10.930118;43.304665;142;142;NA;Toscana;OD:TOS01005373;Italy
170;TOS01005377;S. Dalmazio;10.944448;43.253188;315;315;NA;Toscana;OD:TOS01005377;Italy
171;TOS01005386;Ponte SR439;10.857936;43.334223;136;136;NA;Toscana;OD:TOS01005386;Italy
172;TOS01005395;Montegemoli;10.786002;43.354193;66;66;NA;Toscana;OD:TOS01005395;Italy
173;TOS01005401;Ponte di Monterufoli;10.669795;43.323359;41;41;NA;Toscana;OD:TOS01005401;Italy
174;TOS01005403;Case Grisella;10.674415;43.309887;42;42;NA;Toscana;OD:TOS01005403;Italy
175;TOS01005415;Steccaia;10.575043;43.339141;23;23;NA;Toscana;OD:TOS01005415;Italy
176;TOS01005441;Portoferraio;10.330276;42.812224;5;5;NA;Toscana;OD:TOS01005441;Italy
177;TOS01005461;SP Lodano;10.72514;43.113247;96;96;NA;Toscana;OD:TOS01005461;Italy
178;TOS01005465;Molino del Balzone;10.718876;43.126981;102;102;NA;Toscana;OD:TOS01005465;Italy
179;TOS01005471;Ponte per Montioni;10.71299;43.072997;47;47;NA;Toscana;OD:TOS01005471;Italy
180;TOS01005485;Calzalunga;10.722992;43.067444;50;50;NA;Toscana;OD:TOS01005485;Italy
181;TOS01005489;Vecchia SS Aurelia;10.614934;43.020657;14;14;NA;Toscana;OD:TOS01005489;Italy
182;TOS01005572;La Cura SP152;10.798058;42.937503;14;14;NA;Toscana;OD:TOS01005572;Italy
183;TOS01005573;Cura Nuova;10.819168;42.973053;34;34;NA;Toscana;OD:TOS01005573;Italy
184;TOS01005601;Macchiascandona;11.000554;42.806948;3;3;NA;Toscana;OD:TOS01005601;Italy
185;TOS01005672;Buonconvento;11.476082;43.135285;144;144;NA;Toscana;OD:TOS01005672;Italy
186;TOS01005761;Monte Amiata Scalo;11.546923;42.975772;181;181;NA;Toscana;OD:TOS01005761;Italy
187;TOS01005785;Roccastrada;11.225833;42.987503;132;132;NA;Toscana;OD:TOS01005785;Italy
188;TOS01005791;Sasso d'Ombrone;11.322468;42.934931;97;97;NA;Toscana;OD:TOS01005791;Italy
189;TOS01005801;Montieri;11.059441;43.121114;399;399;NA;Toscana;OD:TOS01005801;Italy
190;TOS01005822;Istia;11.195559;42.782779;29;29;NA;Toscana;OD:TOS01005822;Italy
191;TOS01005981;Livorno Mareografo;10.299632;43.546256;2;2;NA;Toscana;OD:TOS01005981;Italy
193;TOS02000047;Vergheto;10.170679;44.094489;780;780;NA;Toscana;OD:TOS02000047;Italy
194;TOS02000064;Terrinca;10.275435;44.028371;1006;1006;NA;Toscana;OD:TOS02000064;Italy
195;TOS02000075;Pomezzana;10.314746;43.985157;476;476;NA;Toscana;OD:TOS02000075;Italy
196;TOS02000077;Cardoso;10.318978;44.009785;489;489;NA;Toscana;OD:TOS02000077;Italy
197;TOS02000078;Gallena;10.253632;43.993574;205;205;NA;Toscana;OD:TOS02000078;Italy
198;TOS02000079;Retignano;10.271503;44.005026;372;372;NA;Toscana;OD:TOS02000079;Italy
199;TOS02000081;Cervaiole;10.245609;44.039262;968;968;NA;Toscana;OD:TOS02000081;Italy
200;TOS02000083;Azzano;10.228438;44.0236;518;518;NA;Toscana;OD:TOS02000083;Italy
201;TOS02000085;Cerreta S. Nicola;10.202756;44.00971;611;611;NA;Toscana;OD:TOS02000085;Italy
202;TOS02000088;Cerreto;10.173198;44.031856;437;437;NA;Toscana;OD:TOS02000088;Italy
203;TOS02000106;Pedona;10.297917;43.917927;247;247;NA;Toscana;OD:TOS02000106;Italy
204;TOS02000108;Vallelunga;10.337689;43.971328;688;688;NA;Toscana;OD:TOS02000108;Italy
205;TOS02000155;Passo Pradarena;10.300464;44.285808;1550;1550;NA;Toscana;OD:TOS02000155;Italy
206;TOS02000161;Capanne di Sillano;10.309084;44.258034;1257;1257;NA;Toscana;OD:TOS02000161;Italy
207;TOS02000171;Monte Castellino;10.381856;44.259698;1725;1725;NA;Toscana;OD:TOS02000171;Italy
208;TOS02000177;Orto di Donna;10.197383;44.134767;1134;1134;NA;Toscana;OD:TOS02000177;Italy
209;TOS02000191;Vagli di Sotto;10.289426;44.108546;559;559;NA;Toscana;OD:TOS02000191;Italy
210;TOS02000203;Villacollemandina;10.386305;44.160529;535;535;NA;Toscana;OD:TOS02000203;Italy
211;TOS02000221;Casone di Profecchia;10.44567;44.21118;1322;1322;NA;Toscana;OD:TOS02000221;Italy
212;TOS02000228;Alpe S. Pellegrino;10.48056;44.190917;1395;1395;NA;Toscana;OD:TOS02000228;Italy
213;TOS02000237;Monte Macina;10.251317;44.08179;1507;1507;NA;Toscana;OD:TOS02000237;Italy
214;TOS02000241;Campagrina;10.259342;44.059003;1020;1020;NA;Toscana;OD:TOS02000241;Italy
215;TOS02000275;Monte Romecchio;10.526874;44.155531;1576;1576;NA;Toscana;OD:TOS02000275;Italy
216;TOS02000281;Fornovolasco;10.360547;44.028957;539;539;NA;Toscana;OD:TOS02000281;Italy
217;TOS02000299;Gallicano;10.43964;44.06303;194;194;NA;Toscana;OD:TOS02000299;Italy
218;TOS02000329;Palagnana;10.347024;43.997799;938;938;NA;Toscana;OD:TOS02000329;Italy
219;TOS02000332;Fabbriche Vallico;10.42742;43.99664;433;433;NA;Toscana;OD:TOS02000332;Italy
220;TOS02000339;Tereglio;10.567786;44.059846;614;614;NA;Toscana;OD:TOS02000339;Italy
221;TOS02000351;Boscolungo;10.67354;44.139094;1374;1374;NA;Toscana;OD:TOS02000351;Italy
222;TOS02000359;Melo;10.743544;44.131362;1088;1088;NA;Toscana;OD:TOS02000359;Italy
223;TOS02000372;Croce Arcana;10.778274;44.131916;1663;1663;NA;Toscana;OD:TOS02000372;Italy
224;TOS02000381;Pian di Novello;10.692432;44.116087;1075;1075;NA;Toscana;OD:TOS02000381;Italy
225;TOS02000401;Selva dei Porci;10.813551;44.077198;923;923;NA;Toscana;OD:TOS02000401;Italy
226;TOS02000421;Monte Oppio;10.836892;44.042468;835;835;NA;Toscana;OD:TOS02000421;Italy
227;TOS02000431;S. Marcello Pistoiese;10.788086;44.055275;610;610;NA;Toscana;OD:TOS02000431;Italy
228;TOS02000441;Prunetta;10.80397;44.008489;1012;1012;NA;Toscana;OD:TOS02000441;Italy
229;TOS02000483;Convalle;10.417144;43.937471;353;353;NA;Toscana;OD:TOS02000483;Italy
232;TOS02000512;Lucca;10.5127;43.842185;17;17;NA;Toscana;OD:TOS02000512;Italy
235;TOS02004011;Canevara;10.168239;44.058304;226;226;NA;Toscana;OD:TOS02004011;Italy
236;TOS02004017;Ruosina;10.266745;43.999051;251;251;NA;Toscana;OD:TOS02004017;Italy
237;TOS02004028;Seravezza 1;10.222692;43.992189;127;127;NA;Toscana;OD:TOS02004028;Italy
238;TOS02004029;Seravezza 2;10.223503;43.992815;127;127;NA;Toscana;OD:TOS02004029;Italy
239;TOS02004045;Ponte Tavole;10.18483;43.972565;7;7;NA;Toscana;OD:TOS02004045;Italy
240;TOS02004055;Forte dei Marmi;10.163333;43.955553;1;1;NA;Toscana;OD:TOS02004055;Italy
241;TOS02004059;Camaiore;10.275355;43.927626;94;94;NA;Toscana;OD:TOS02004059;Italy
242;TOS02004081;Torre del Lago;10.307692;43.832462;2;2;NA;Toscana;OD:TOS02004081;Italy
243;TOS02004085;Padule Massaciuccoli;10.326489;43.842726;2;2;NA;Toscana;OD:TOS02004085;Italy
244;TOS02004091;Viareggio 1;10.259289;43.867634;2;2;NA;Toscana;OD:TOS02004091;Italy
245;TOS02004101;Viareggio 2;10.258476;43.867359;2;2;NA;Toscana;OD:TOS02004101;Italy
246;TOS02004115;Camporgiano;10.338424;44.162935;415;415;NA;Toscana;OD:TOS02004115;Italy
247;TOS02004165;Ponte di Campia;10.453248;44.090525;238;238;NA;Toscana;OD:TOS02004165;Italy
248;TOS02004195;Calavorno;10.531037;44.021363;141;141;NA;Toscana;OD:TOS02004195;Italy
249;TOS02004203;Fornoli;10.551038;44.003558;127;127;NA;Toscana;OD:TOS02004203;Italy
250;TOS02004215;Casotti di Cutigliano;10.751581;44.098219;640;640;NA;Toscana;OD:TOS02004215;Italy
251;TOS02004231;Ponte di Lucchio;10.717994;44.045525;482;482;NA;Toscana;OD:TOS02004231;Italy
252;TOS02004255;Chifenti;10.563969;44.007322;157;157;NA;Toscana;OD:TOS02004255;Italy
253;TOS02004271;Borgo a Mozzano;10.55151;43.979877;245;245;NA;Toscana;OD:TOS02004271;Italy
254;TOS02004284;Piaggione;10.51441;43.929399;156;156;NA;Toscana;OD:TOS02004284;Italy
255;TOS02004286;Mutigliano;10.484186;43.881763;40;40;NA;Toscana;OD:TOS02004286;Italy
256;TOS02004291;Monte S.Quirico;10.507925;43.859049;30;30;NA;Toscana;OD:TOS02004291;Italy
257;TOS02004305;Ponte Guido;10.436814;43.859119;30;30;NA;Toscana;OD:TOS02004305;Italy
258;TOS02004311;Ripafratta;10.414922;43.821073;19;19;NA;Toscana;OD:TOS02004311;Italy
259;TOS02004315;Pontetetto;10.494269;43.82343;14;14;NA;Toscana;OD:TOS02004315;Italy
260;TOS02004317;Ripafratta 2;10.414256;43.81876;19;19;NA;Toscana;OD:TOS02004317;Italy
261;TOS02004365;Vecchiano;10.398898;43.780526;14;14;NA;Toscana;OD:TOS02004365;Italy
262;TOS02004369;Bocca di Serchio;10.269991;43.781265;2;2;NA;Toscana;OD:TOS02004369;Italy
264;TOS03000278;Renaio;10.534051;44.108741;1001;1001;NA;Toscana;OD:TOS03000278;Italy
265;TOS03001246;Calamazza Siap;9.95104;44.201787;152;152;NA;Toscana;OD:TOS03001246;Italy
289;TOS03002961;Ponte Tura;11.166253;42.764698;16;16;NA;Toscana;OD:TOS03002961;Italy
291;TOS03003019;Roccalbegna;11.511635;42.788562;600;600;NA;Toscana;OD:TOS03003019;Italy
292;TOS03003041;Capanne;11.543856;42.685646;399;399;NA;Toscana;OD:TOS03003041;Italy
293;TOS03003053;Usi;11.463412;42.72401;363;363;NA;Toscana;OD:TOS03003053;Italy
294;TOS03003063;Torricelle;11.425443;42.642219;158;158;NA;Toscana;OD:TOS03003063;Italy
