SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;SiteName.serieRecente;SiteNameAnnale;FullSiteCode;localita;comune;provincia;State;Comments
506;506;Moie;13.125891;43.496212;104;NA;104;Marche;Moie;Moie;OD:506;Moie;Maiolati Spontini;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
602;602;Sorti;12.970743;43.159035;469;NA;469;Marche;Sorti;Sorti;OD:602;Bivio d'Agolla;Sefro;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
603;603;Spindoli;12.900417;43.194057;484;NA;484;Marche;Spindoli;Spindoli;OD:603;Spindoli;Fiuminata;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
604;604;Fiume di Fiastra;13.155992;43.034702;747;NA;747;Marche;Fiume di Fiastra;Fiume di Fiastra;OD:604;Trebbio;Fiastra;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
605;605;Fabriano;12.904034;43.330273;354;NA;354;Marche;Fabriano;Fabriano;OD:605;Fabriano;Fabriano;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
606;606;Senigallia;13.20576;43.701027;6;NA;6;Marche;Senigallia;Senigallia;OD:606;Senigallia;Senigallia;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
607;607;Santa Maria di Pieca;13.28157;43.080029;465;NA;465;Marche;Santa Maria di Pieca;Santa Maria di Pieca;OD:607;Pian di Pieca;San Ginesio;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
608;608;Cingoli;13.19233;43.36224;790;NA;790;Marche;Cingoli;Cingoli;OD:608;Pian De' Conti;Cingoli;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
609;609;Lornano;13.4187;43.29224;294;NA;294;Marche;Lornano;Lornano;OD:609;Macerata;Macerata;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
610;610;Loreto;13.61955;43.435791;45;NA;45;Marche;Loreto;Loreto;OD:610;Via Lavanderia;Loreto;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
