SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;Regione;Comments
146;PONTEBBA;C333;OD:C333;46.506100000000004;13.3075;584;Italy;FVG;Quota ricavata da dem
147;Pontebba ponte per Studena Alta;C335;OD:C335;46.5105;13.3;698;Italy;FVG;Quota ricavata da dem
148;STRADA PER PRAMOLLO;C336;OD:C336;46.5299;13.3035;1041;Italy;FVG;Quota ricavata da dem
149;PASSO PRAMOLLO VALICO;C338;OD:C338;46.5597;13.275;1551;Italy;FVG;Quota ricavata da dem
151;CHIOUT;C362;OD:C362;46.4522;13.3718;962;Italy;FVG;Quota ricavata da dem
152;Dogna;C400;OD:C400;46.4425;13.3126;498;Italy;FVG;Quota ricavata da dem
153;CHIUSAFORTE;C402;OD:C402;46.4076;13.3136;436;Italy;FVG;Quota ricavata da dem
154;SALETTO DI RACCOLANA;C410;OD:C410;46.4027;13.3757;636;Italy;FVG;Quota ricavata da dem
155;RACCOLANA;C411;OD:C411;46.4046;13.3175;690;Italy;FVG;Quota ricavata da dem
156;LIVINAL LUNC;C412;OD:C412;46.3758;13.4722;1514;Italy;FVG;Quota ricavata da dem
157;CORITIS;C420;OD:C420;46.348;13.3926;689;Italy;FVG;Quota ricavata da dem
158;STOLVIZZA;C421;OD:C421;46.3635;13.3517;675;Italy;FVG;Quota ricavata da dem
159;OSEACCO;C422;OD:C422;46.3628;13.3115;483;Italy;FVG;Quota ricavata da dem
160;RESIA PRATO;C423;OD:C423;46.3759;13.2957;610;Italy;FVG;Quota ricavata da dem
161;BORGO POVICI;C425;OD:C425;46.3887;13.2215;337;Italy;FVG;Quota ricavata da dem
162;BEVORCHIANS;C440;OD:C440;46.4859;13.1891;781;Italy;FVG;Quota ricavata da dem
163;GRAUZARIA;C442;OD:C442;46.4511;13.1844;535;Italy;FVG;Quota ricavata da dem
164;Pradis;C444;OD:C444;46.423;13.2013;472;Italy;FVG;Quota ricavata da dem
165;BIVACCO BIANCHI;C445;OD:C445;46.4561;13.2487;1613;Italy;FVG;Quota ricavata da dem
166;DIGA IN ALBA;C462;OD:C462;46.4344;13.2158;760;Italy;FVG;Quota ricavata da dem
167;MOGGIO UDINESE;C463;OD:C463;46.4088;13.2003;467;Italy;FVG;Quota ricavata da dem
168;MOGGIO UDINESE PONTE SUL FELLA;C464;OD:C464;46.4001;13.1861;343;Italy;FVG;Quota ricavata da dem
169;MALGA CJARIGUART;C467;OD:C467;46.3591;13.1849;1638;Italy;FVG;Quota ricavata da dem
170;Pioverno;C500;OD:C500;46.3417;13.136;240;Italy;FVG;Quota ricavata da dem
171;VENZONE;C501;OD:C501;46.3314;13.1428;418;Italy;FVG;Quota ricavata da dem
172;Venzone ponte per Pioverno;C503;OD:C503;46.3355;13.1341;239;Italy;FVG;Quota ricavata da dem
173;GEMONA CASA DI RIPOSO;C508;OD:C508;46.2788;13.1412;290;Italy;FVG;Quota ricavata da dem
174;GEMONA CANCIANE;C509;OD:C509;46.2656;13.1363;189;Italy;FVG;Quota ricavata da dem
175;Venzone spalla ponte Pioverno;C512;OD:C512;46.3354;13.1341;239;Italy;FVG;Quota ricavata da dem
176;Ponte di Braulins sponda destra;C513;OD:C513;46.2827;13.0936;198;Italy;FVG;Quota ricavata da dem
